Epoch 1150 | Loss: 0.2758 | Train Acc: 0.8821 | Val Acc: 0.8750
Epoch 1200 | Loss: 0.2737 | Train Acc: 0.8810 | Val Acc: 0.8690
Epoch 1250 | Loss: 0.2684 | Train Acc: 0.8821 | Val Acc: 0.8667
Epoch 1300 | Loss: 0.2732 | Train Acc: 0.8795 | Val Acc: 0.8643
Early stopping at epoch 1345
Best epoch:  845
Combination 8/300: {'hidden1': 300, 'hidden2': 25, 'activation': 'tanh', 'lr': 0.0001, 'alpha': 1e-05, 'batch_size': 128}
Epoch 001 | Loss: 3.3653 | Train Acc: 0.0717 | Val Acc: 0.0655
Epoch 050 | Loss: 1.8766 | Train Acc: 0.5143 | Val Acc: 0.5048
Epoch 100 | Loss: 1.3262 | Train Acc: 0.6345 | Val Acc: 0.6262
Epoch 150 | Loss: 1.0670 | Train Acc: 0.6804 | Val Acc: 0.6571
Epoch 200 | Loss: 0.9135 | Train Acc: 0.7241 | Val Acc: 0.6905
Epoch 250 | Loss: 0.8081 | Train Acc: 0.7414 | Val Acc: 0.7214
Epoch 300 | Loss: 0.7413 | Train Acc: 0.7533 | Val Acc: 0.7298
Epoch 350 | Loss: 0.6845 | Train Acc: 0.7631 | Val Acc: 0.7417
Epoch 400 | Loss: 0.6483 | Train Acc: 0.7705 | Val Acc: 0.7488
Epoch 450 | Loss: 0.6223 | Train Acc: 0.7652 | Val Acc: 0.7464
Epoch 500 | Loss: 0.6095 | Train Acc: 0.7682 | Val Acc: 0.7512
Epoch 550 | Loss: 0.5817 | Train Acc: 0.7702 | Val Acc: 0.7524
Epoch 600 | Loss: 0.5734 | Train Acc: 0.7738 | Val Acc: 0.7524
Epoch 650 | Loss: 0.5536 | Train Acc: 0.7866 | Val Acc: 0.7679
Epoch 700 | Loss: 0.5451 | Train Acc: 0.7887 | Val Acc: 0.7679
Epoch 750 | Loss: 0.5326 | Train Acc: 0.7896 | Val Acc: 0.7690
Epoch 800 | Loss: 0.5207 | Train Acc: 0.7923 | Val Acc: 0.7762
Epoch 850 | Loss: 0.5193 | Train Acc: 0.7935 | Val Acc: 0.7762
Epoch 900 | Loss: 0.5093 | Train Acc: 0.7949 | Val Acc: 0.7762
Epoch 950 | Loss: 0.5010 | Train Acc: 0.7943 | Val Acc: 0.7786
Epoch 1000 | Loss: 0.4942 | Train Acc: 0.7997 | Val Acc: 0.7857
Epoch 1050 | Loss: 0.5002 | Train Acc: 0.7955 | Val Acc: 0.7821
Epoch 1100 | Loss: 0.4867 | Train Acc: 0.8006 | Val Acc: 0.7869
Epoch 1150 | Loss: 0.4818 | Train Acc: 0.8006 | Val Acc: 0.7905
Epoch 1200 | Loss: 0.4806 | Train Acc: 0.8051 | Val Acc: 0.7917
Epoch 1250 | Loss: 0.4739 | Train Acc: 0.8021 | Val Acc: 0.7905
Epoch 1300 | Loss: 0.4768 | Train Acc: 0.8054 | Val Acc: 0.7869
Epoch 1350 | Loss: 0.4711 | Train Acc: 0.8030 | Val Acc: 0.7905
Epoch 1400 | Loss: 0.4761 | Train Acc: 0.8060 | Val Acc: 0.7881
Epoch 1450 | Loss: 0.4601 | Train Acc: 0.8065 | Val Acc: 0.7905
Best epoch:  1110
Combination 9/300: {'hidden1': 10, 'hidden2': 100, 'activation': 'relu', 'lr': 0.01, 'alpha': 0.01, 'batch_size': 256}
